Bana,integer,decimal,x,y,Namn,Förening,Klass,Typ
0,10,102,0.00000000,-0.00600000,SH1000,,000,Prov
0,10,102,0.00000000,-0.00600000,SH1000,,000,Prov
0,10,102,0.00000000,-0.00600000,SH1000,,000,Prov
0,10,102,0.00000000,-0.00600000,SH1000,,000,Prov
0,10,101,-0.00480833,0.00480833,SH1001,,001,Prov
0,10,101,-0.00480833,0.00480833,SH1001,,001,Prov
0,10,101,-0.00480833,0.00480833,SH1001,,001,Prov
0,10,101,-0.00480833,0.00480833,SH1001,,001,Prov
0,10,103,0.00520000,0.00000000,SH1002,,002,Prov
0,10,103,0.00520000,0.00000000,SH1002,,002,Prov
0,10,103,0.00520000,0.00000000,SH1002,,002,Prov
0,10,103,0.00520000,0.00000000,SH1002,,002,Prov
0,10,108,0.00120000,0.00000000,SH1003,,003,Prov
0,10,108,0.00120000,0.00000000,SH1003,,003,Prov
0,10,108,0.00120000,0.00000000,SH1003,,003,Prov
0,10,108,0.00120000,0.00000000,SH1003,,003,Prov
0,10,100,0.00760000,0.00000000,SH1004,,004,Prov
0,10,100,0.00760000,0.00000000,SH1004,,004,Prov
0,10,100,0.00760000,0.00000000,SH1004,,004,Prov
0,10,100,0.00760000,0.00000000,SH1004,,004,Prov
0,9,97,-0.01000000,0.00000000,SH1005,,005,Prov
0,9,97,-0.01000000,0.00000000,SH1005,,005,Prov
0,9,97,-0.01000000,0.00000000,SH1005,,005,Prov
0,9,97,-0.01000000,0.00000000,SH1005,,005,Prov
0,10,109,0.00028284,0.00028284,SH1006,,006,Prov
0,10,109,0.00028284,0.00028284,SH1006,,006,Prov
0,10,109,0.00028284,0.00028284,SH1006,,006,Prov
0,10,109,0.00028284,0.00028284,SH1006,,006,Prov
0,10,105,0.00000000,0.00360000,SH1007,,007,Prov
0,10,105,0.00000000,0.00360000,SH1007,,007,Prov
0,10,105,0.00000000,0.00360000,SH1007,,007,Prov
0,10,105,0.00000000,0.00360000,SH1007,,007,Prov
